legura,kolicina,kom,masina,duzina,profil,k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,vm_1,vm_2,vm_3,vm_4,vm_5,vm_6,vm_7,vm_8,vm_9,vm_10,vm_11,vm_12,vm_13,vm_14
Y80,13336,3,L42,4200,400 X 980,11000,0,2000,500,0,0,0,0,0,0,0,0,0,0,"AL ingoti  99,7% - T",,"A30 (A30,A31,A29,A33,A40?) Serija 1XXX","A30 (A30,A31,A29,A33,A40?) Serija 1XXX",,,,,,,,,,
Q90,43305,5,L39,7400,400 X 1100,0,0,4000,12000,4000,3000,1000,15000,6000,2000,0,0,0,0,,,"P30 (P30,P21,P23,P30R, P36,P35,P38?) Serija 5XXX","P30 (P30,P21,P23,P30R, P36,P35,P38?) Serija 5XXX","P30 (P30,P21,P23,P30R, P36,P35,P38?) Serija 5XXX","P30 (P30,P21,P23,P30R, P36,P35,P38?) Serija 5XXX",Metal sa livenja P30,"A31N nebojeni, baliran-U, pre-con","A5N mix (5xxx/6xxx),baliran-U, pre-con","A3N nebojeni, baliran-D, post-con",,,,
Q90,43305,5,L39,7400,400 X 1100,0,0,4000,20000,4000,3000,1000,8000,4000,3000,0,0,0,0,,,"P30 (P30,P21,P23,P30R, P36,P35,P38?) Serija 5XXX","P30 (P30,P21,P23,P30R, P36,P35,P38?) Serija 5XXX","P30 (P30,P21,P23,P30R, P36,P35,P38?) Serija 5XXX","P30 (P30,P21,P23,P30R, P36,P35,P38?) Serija 5XXX",Metal sa livenja P30,"A31N nebojeni, baliran-U, pre-con","A3N nebojeni, baliran-D, post-con","A5N mix (5xxx/6xxx),baliran-U, pre-con",,,,
Q90,45805,5,L39,8200,400 X 1050,5000,0,4000,20000,4000,3000,1000,8000,4000,0,0,0,0,0,"AL ingoti  99,7% - T",,"P30 (P30,P21,P23,P30R, P36,P35,P38?) Serija 5XXX","P30 (P30,P21,P23,P30R, P36,P35,P38?) Serija 5XXX","P30 (P30,P21,P23,P30R, P36,P35,P38?) Serija 5XXX","P30 (P30,P21,P23,P30R, P36,P35,P38?) Serija 5XXX",Metal sa livenja P30,"A31N nebojeni, baliran-U, pre-con","A3N nebojeni, baliran-D, post-con",,,,,
Q90,49412,4,L39,8600,400 X 1350,5000,0,4000,24000,4000,3000,1000,5000,3000,2000,1000,0,0,0,"AL ingoti  99,7% - T",,"P30 (P30,P21,P23,P30R, P36,P35,P38?) Serija 5XXX","P30 (P30,P21,P23,P30R, P36,P35,P38?) Serija 5XXX","P30 (P30,P21,P23,P30R, P36,P35,P38?) Serija 5XXX","P30 (P30,P21,P23,P30R, P36,P35,P38?) Serija 5XXX",Metal sa livenja P30,"A5N mix (5xxx/6xxx),baliran-U, pre-con","A3N nebojeni, baliran-D, pre-con","A3N nebojeni, vre?e-D, post-con","A6 stranice kamiona-U, post-con",,,
Q90,50274,5,L39,7000,400 X 1350,5000,0,4000,25000,4000,3000,1000,5000,3000,2000,1000,0,0,0,"AL ingoti  99,7% - T",,"P30 (P30,P21,P23,P30R, P36,P35,P38?) Serija 5XXX","P30 (P30,P21,P23,P30R, P36,P35,P38?) Serija 5XXX","P30 (P30,P21,P23,P30R, P36,P35,P38?) Serija 5XXX","P30 (P30,P21,P23,P30R, P36,P35,P38?) Serija 5XXX",Metal sa livenja P30,"A5N mix (5xxx/6xxx),baliran-U, pre-con","A3N nebojeni, baliran-D, pre-con","A3N nebojeni, vre?e-D, post-con","A6 stranice kamiona-U, post-con",,,
Q90,51753,4,L39,7600,400 X 1600,5000,0,4000,25000,4000,3000,1000,5000,2000,3000,1000,0,0,5,"AL ingoti  99,7% - T",,"P30 (P30,P21,P23,P30R, P36,P35,P38?) Serija 5XXX","P30 (P30,P21,P23,P30R, P36,P35,P38?) Serija 5XXX","P30 (P30,P21,P23,P30R, P36,P35,P38?) Serija 5XXX","P30 (P30,P21,P23,P30R, P36,P35,P38?) Serija 5XXX",Metal sa livenja P30,"A5N mix (5xxx/6xxx),baliran-U, pre-con","A3N nebojeni, baliran-D, post-con","A3N nebojeni, vre?e-D, post-con","A6 stranice kamiona-U, post-con",,,ALBe5%
Q90,51753,4,L39,7600,400 X 1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Q90,51753,4,L39,7600,400 X 1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Q90,49029,4,L39,7200,400 X 1600,5000,0,4000,27000,4000,3000,1000,3000,2000,1500,1000,0,0,5,"AL ingoti  99,7% - T",,"P30 (P30,P21,P23,P30R, P36,P35,P38?) Serija 5XXX","P30 (P30,P21,P23,P30R, P36,P35,P38?) Serija 5XXX","P30 (P30,P21,P23,P30R, P36,P35,P38?) Serija 5XXX","P30 (P30,P21,P23,P30R, P36,P35,P38?) Serija 5XXX",Metal sa livenja P30,"A3N nebojeni, baliran-D, pre-con","A3N nebojeni, vre?e-D, post-con","A51N nebojeni, vre?e-D, post-con","A6 stranice kamiona-U, post-con",,,ALBe5%
Q90R,47667,4,L39,7000,400 X 1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Q90R,47667,4,L39,7000,400 X 1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Q90R,47667,4,L39,7000,400 X 1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Q90R,49157,4,L39,7000,400 X 1650,10000,0,4000,20000,4000,3000,1000,3000,2000,5000,0,0,5,15,"AL ingoti  99,7% - T",,"P30 (P30,P21,P23,P30R, P36,P35,P38?) Serija 5XXX","P30 (P30,P21,P23,P30R, P36,P35,P38?) Serija 5XXX","P30 (P30,P21,P23,P30R, P36,P35,P38?) Serija 5XXX","P30 (P30,P21,P23,P30R, P36,P35,P38?) Serija 5XXX",Metal sa livenja P30,"A3N nebojeni, baliran-D, post-con","A3N nebojeni, vre?e-D, post-con","A4N nebojeni, baliran-D, pre-con",,,ALBe5%,Bi100%
Q90R,41443,5,L39,8200,400 X 950,7000,0,4000,15000,4000,3000,1000,4000,2000,5000,0,0,5,15,"AL ingoti  99,7% - T",,"P30 (P30,P21,P23,P30R, P36,P35,P38?) Serija 5XXX","P30 (P30,P21,P23,P30R, P36,P35,P38?) Serija 5XXX","P30 (P30,P21,P23,P30R, P36,P35,P38?) Serija 5XXX","P30 (P30,P21,P23,P30R, P36,P35,P38?) Serija 5XXX",Metal sa livenja P30,"A3N nebojeni, baliran-D, post-con","A3N nebojeni, vre?e-D, post-con","A4N nebojeni, baliran-D, pre-con",,,ALBe5%,Bi100%
